date,1. open,2. high,3. low,4. close,5. volume
2019-12-13 11:29:00,42.84,42.84,42.82,42.84,1675.0
2019-12-13 11:28:00,42.83,42.84,42.83,42.84,1016.0
2019-12-13 11:27:00,42.87,42.87,42.83,42.85,7073.0
2019-12-13 11:26:00,42.86,42.9,42.85,42.86,2552.0
2019-12-13 11:25:00,42.88,42.88,42.86,42.86,1072.0
2019-12-13 11:24:00,42.91,42.92,42.89,42.89,2327.0
2019-12-13 11:23:00,42.88,42.91,42.88,42.91,2674.0
2019-12-13 11:22:00,42.88,42.89,42.87,42.89,2890.0
2019-12-13 11:21:00,42.86,42.88,42.85,42.88,1540.0
2019-12-13 11:20:00,42.86,42.91,42.85,42.87,3140.0
2019-12-13 11:19:00,42.92,42.92,42.88,42.88,1450.0
2019-12-13 11:18:00,42.95,42.95,42.9,42.91,2724.0
2019-12-13 11:17:00,42.94,42.96,42.94,42.95,788.0
2019-12-13 11:16:00,42.94,42.94,42.94,42.94,204.0
2019-12-13 11:15:00,42.92,42.95,42.92,42.95,1435.0
2019-12-13 11:14:00,42.96,42.96,42.93,42.93,5523.0
2019-12-13 11:13:00,42.95,42.96,42.93,42.96,1028.0
2019-12-13 11:12:00,42.94,42.94,42.94,42.94,373.0
2019-12-13 11:11:00,42.95,42.95,42.92,42.94,950.0
2019-12-13 11:10:00,42.97,42.98,42.96,42.96,746.0
2019-12-13 11:09:00,42.96,42.99,42.96,42.96,3178.0
2019-12-13 11:08:00,42.95,42.99,42.95,42.98,1667.0
2019-12-13 11:07:00,42.97,42.97,42.94,42.94,253.0
2019-12-13 11:06:00,43.01,43.01,42.99,42.99,1525.0
2019-12-13 11:05:00,43.0,43.01,42.99,43.01,2115.0
2019-12-13 11:04:00,43.03,43.03,42.98,42.98,0.0
2019-12-13 11:02:00,43.04,43.04,43.03,43.03,904.0
2019-12-13 11:01:00,43.03,43.09,43.03,43.05,981.0
2019-12-13 11:00:00,43.0,43.03,42.99,43.03,1841.0
2019-12-13 10:59:00,42.98,43.01,42.98,43.01,1299.0
2019-12-13 10:58:00,42.99,43.0,42.99,42.99,580.0
2019-12-13 10:57:00,43.04,43.04,42.97,43.0,4928.0
2019-12-13 10:56:00,43.01,43.04,43.01,43.03,2472.0
2019-12-13 10:55:00,42.97,43.02,42.97,43.0,4175.0
2019-12-13 10:54:00,43.0,43.0,42.96,42.96,2508.0
2019-12-13 10:53:00,43.04,43.05,43.02,43.02,1699.0
2019-12-13 10:52:00,43.05,43.08,43.04,43.06,4873.0
2019-12-13 10:51:00,43.03,43.04,43.03,43.04,1442.0
2019-12-13 10:50:00,43.1,43.11,43.01,43.04,6330.0
2019-12-13 10:49:00,43.08,43.1,43.08,43.08,759.0
2019-12-13 10:48:00,43.16,43.17,43.08,43.08,2186.0
2019-12-13 10:47:00,43.2,43.2,43.2,43.2,539.0
2019-12-13 10:46:00,43.11,43.21,43.11,43.21,4817.0
2019-12-13 10:45:00,43.12,43.13,43.11,43.13,919.0
2019-12-13 10:44:00,43.16,43.16,43.16,43.16,609.0
2019-12-13 10:43:00,43.15,43.18,43.15,43.16,1229.0
2019-12-13 10:42:00,43.23,43.24,43.14,43.14,1371.0
2019-12-13 10:41:00,43.22,43.24,43.21,43.24,1071.0
2019-12-13 10:40:00,43.13,43.22,43.12,43.21,1313.0
2019-12-13 10:39:00,43.06,43.14,43.06,43.13,4734.0
2019-12-13 10:38:00,43.11,43.11,43.05,43.05,3330.0
2019-12-13 10:37:00,43.12,43.13,43.11,43.13,1424.0
2019-12-13 10:36:00,43.18,43.18,43.13,43.13,4413.0
2019-12-13 10:35:00,43.24,43.27,43.21,43.24,3811.0
2019-12-13 10:34:00,43.24,43.27,43.23,43.25,3908.0
2019-12-13 10:33:00,43.34,43.34,43.23,43.24,2408.0
2019-12-13 10:32:00,43.38,43.38,43.36,43.36,2389.0
2019-12-13 10:31:00,43.27,43.41,43.27,43.41,1098.0
2019-12-13 10:30:00,43.3616,43.4006,43.2805,43.3016,2635.0
2019-12-13 10:29:00,43.4,43.45,43.38,43.4,1638.0
2019-12-13 10:28:00,43.47,43.51,43.43,43.44,2214.0
2019-12-13 10:27:00,43.56,43.6,43.47,43.5,11080.0
2019-12-13 10:26:00,43.54,43.57,43.54,43.56,582.0
2019-12-13 10:25:00,43.5,43.54,43.5,43.5,7380.0
2019-12-13 10:24:00,43.48,43.51,43.47,43.5,2446.0
2019-12-13 10:23:00,43.48,43.48,43.48,43.48,492.0
2019-12-13 10:22:00,43.53,43.53,43.5,43.5,1035.0
2019-12-13 10:21:00,43.53,43.56,43.53,43.56,904.0
2019-12-13 10:20:00,43.56,43.57,43.54,43.54,2787.0
2019-12-13 10:19:00,43.51,43.51,43.5,43.5,555.0
2019-12-13 10:17:00,43.4,43.46,43.4,43.46,1814.0
2019-12-13 10:16:00,43.35,43.37,43.34,43.34,1097.0
2019-12-13 10:15:00,43.46,43.46,43.36,43.36,1489.0
2019-12-13 10:14:00,43.51,43.52,43.42,43.44,1881.0
2019-12-13 10:13:00,43.57,43.57,43.51,43.52,1966.0
2019-12-13 10:12:00,43.6,43.61,43.55,43.55,2705.0
2019-12-13 10:11:00,43.69,43.69,43.59,43.6,4417.0
2019-12-13 10:10:00,43.63,43.7,43.63,43.7,3013.0
2019-12-13 10:09:00,43.59,43.64,43.59,43.6,4218.0
2019-12-13 10:08:00,43.5917,43.6318,43.5817,43.5817,1754.0
2019-12-13 10:07:00,43.68,43.68,43.6,43.6,4600.0
2019-12-13 10:06:00,43.6,43.67,43.6,43.65,8138.0
2019-12-13 10:05:00,43.55,43.59,43.52,43.59,1993.0
2019-12-13 10:04:00,43.5,43.58,43.49,43.58,3711.0
2019-12-13 10:03:00,43.5116,43.5608,43.4707,43.4816,7994.0
2019-12-13 10:02:00,43.25,43.5,43.24,43.5,8321.0
2019-12-13 10:01:00,43.07,43.26,43.07,43.25,4143.0
2019-12-13 10:00:00,43.04,43.11,43.0,43.11,2002.0
2019-12-13 09:59:00,43.07,43.07,43.05,43.05,472.0
2019-12-13 09:58:00,43.07,43.07,43.06,43.07,924.0
2019-12-13 09:57:00,43.1,43.1,43.1,43.1,67.0
2019-12-13 09:56:00,43.1,43.12,43.06,43.1,7100.0
2019-12-13 09:55:00,43.07,43.07,43.06,43.06,669.0
2019-12-13 09:54:00,43.08,43.09,43.07,43.09,695.0
2019-12-13 09:53:00,43.06,43.07,43.05,43.07,353.0
2019-12-13 09:52:00,43.02,43.05,43.02,43.05,403.0
2019-12-13 09:51:00,43.03,43.05,43.01,43.03,1048.0
2019-12-13 09:50:00,43.05,43.05,43.01,43.01,707.0
2019-12-13 09:49:00,43.03,43.06,43.01,43.06,2348.0
2019-12-13 09:48:00,43.04,43.06,43.04,43.04,1756.0
2019-12-13 09:47:00,43.07,43.07,43.02,43.03,827.0
2019-12-13 09:46:00,43.07,43.08,43.05,43.05,2141.0
2019-12-13 09:45:00,43.1,43.1,43.07,43.07,1470.0
2019-12-13 09:44:00,43.16,43.17,43.09,43.09,2231.0
2019-12-13 09:43:00,43.15,43.15,43.14,43.14,1215.0
2019-12-13 09:42:00,43.2016,43.2401,43.1701,43.1816,2238.0
2019-12-13 09:41:00,43.1816,43.2805,43.1604,43.2116,2973.0
2019-12-13 09:40:00,43.18,43.2,43.18,43.19,1167.0
2019-12-13 09:39:00,43.11,43.18,43.11,43.18,1503.0
2019-12-13 09:38:00,43.03,43.1,43.02,43.1,2062.0
2019-12-13 09:37:00,43.15,43.15,43.05,43.05,1220.0
2019-12-13 09:36:00,43.17,43.17,43.15,43.17,1279.0
2019-12-13 09:35:00,43.09,43.18,43.08,43.18,1580.0
2019-12-13 09:34:00,43.14,43.14,43.09,43.09,2520.0
2019-12-13 09:33:00,43.16,43.16,43.14,43.16,608.0
2019-12-13 09:32:00,43.2,43.21,43.17,43.17,1347.0
2019-12-13 09:31:00,43.12,43.21,43.12,43.21,1072.0
2019-12-13 09:30:00,43.14,43.14,43.08,43.11,2088.0
2019-12-13 09:29:00,43.13,43.16,43.13,43.14,639.0
2019-12-13 09:28:00,43.11,43.14,43.1,43.1,4649.0
2019-12-13 09:27:00,43.09,43.09,43.09,43.09,207.0
2019-12-13 09:26:00,43.03,43.04,43.03,43.03,771.0
2019-12-13 09:25:00,43.02,43.03,43.02,43.02,1123.0
2019-12-13 09:24:00,43.0,43.02,43.0,43.0,1473.0
2019-12-13 09:23:00,43.03,43.03,42.99,43.0,4715.0
2019-12-13 09:22:00,43.06,43.06,43.04,43.04,97.0
2019-12-13 09:21:00,43.1,43.11,43.09,43.11,830.0
2019-12-13 09:20:00,43.12,43.12,43.1,43.12,2089.0
2019-12-13 09:19:00,43.07,43.11,43.06,43.11,1848.0
2019-12-13 09:18:00,43.14,43.14,43.08,43.09,6696.0
2019-12-13 09:17:00,43.16,43.16,43.14,43.16,1634.0
2019-12-13 09:16:00,43.2,43.2,43.14,43.16,2401.0
2019-12-13 09:15:00,43.19,43.19,43.16,43.19,10955.0
2019-12-13 09:14:00,43.21,43.23,43.21,43.22,1311.0
2019-12-13 09:13:00,43.26,43.26,43.22,43.22,346.0
2019-12-13 09:12:00,43.26,43.28,43.26,43.28,225.0
2019-12-13 09:11:00,43.26,43.28,43.25,43.25,884.0
2019-12-13 09:09:00,43.39,43.41,43.39,43.4,760.0
2019-12-13 09:08:00,43.3414,43.4422,43.3221,43.3814,2610.0
2019-12-13 09:07:00,43.47,43.47,43.33,43.33,1899.0
2019-12-13 09:06:00,43.49,43.49,43.37,43.4,5435.0
2019-12-13 09:05:00,43.5,43.5,43.5,43.5,7.0
2019-12-13 09:04:00,43.55,43.55,43.5,43.5,992.0
2019-12-13 09:03:00,43.51,43.54,43.51,43.54,1756.0
2019-12-13 09:02:00,43.5,43.51,43.49,43.51,2758.0
2019-12-13 09:01:00,43.56,43.56,43.49,43.49,5290.0
2019-12-13 09:00:00,43.59,43.59,43.59,43.59,361.0
2019-12-13 08:59:00,43.56,43.58,43.56,43.58,315.0
2019-12-13 08:58:00,43.58,43.58,43.56,43.56,378.0
2019-12-13 08:57:00,43.6,43.6,43.59,43.59,1938.0
2019-12-13 08:56:00,43.58,43.6,43.57,43.6,868.0
2019-12-13 08:55:00,43.57,43.57,43.57,43.57,506.0
2019-12-13 08:53:00,43.53,43.53,43.52,43.53,172.0
2019-12-13 08:51:00,43.55,43.55,43.53,43.53,340.0
2019-12-13 08:50:00,43.53,43.54,43.52,43.54,391.0
2019-12-13 08:48:00,43.54,43.54,43.53,43.53,947957.0
2019-12-13 08:46:00,43.52,43.54,43.52,43.54,0.0
2019-12-13 08:44:00,43.58,43.58,43.58,43.58,324.0
2019-12-13 08:43:00,43.61,43.61,43.61,43.61,715.0
2019-12-13 08:42:00,43.65,43.65,43.63,43.63,650.0
2019-12-13 08:41:00,43.64,43.67,43.64,43.65,1034.0
2019-12-13 08:40:00,43.65,43.65,43.64,43.64,268.0
2019-12-13 08:39:00,43.64,43.64,43.64,43.64,548.0
2019-12-13 08:38:00,43.62,43.63,43.61,43.63,2723.0
2019-12-13 08:37:00,43.61,43.62,43.61,43.62,611.0
2019-12-13 08:36:00,43.61,43.62,43.61,43.61,980.0
2019-12-13 08:35:00,43.57,43.61,43.57,43.61,782.0
2019-12-13 08:34:00,43.55,43.55,43.54,43.55,869.0
2019-12-13 08:33:00,43.58,43.58,43.54,43.54,1432.0
2019-12-13 08:32:00,43.57,43.64,43.57,43.59,3915.0
2019-12-13 08:31:00,43.56,43.57,43.55,43.55,999.0
2019-12-13 08:30:00,43.58,43.58,43.55,43.57,1378.0
2019-12-13 08:29:00,43.58,43.59,43.58,43.59,310.0
2019-12-13 08:28:00,43.52,43.52,43.52,43.52,649.0
2019-12-13 08:25:00,43.55,43.55,43.54,43.54,252.0
2019-12-13 08:24:00,43.55,43.55,43.53,43.54,2068.0
2019-12-13 08:23:00,43.57,43.57,43.57,43.57,280.0
2019-12-13 08:22:00,43.57,43.58,43.57,43.58,449.0
2019-12-13 08:21:00,43.55,43.55,43.55,43.55,230.0
2019-12-13 08:20:00,43.57,43.57,43.55,43.55,2436.0
2019-12-13 08:18:00,43.58,43.58,43.57,43.57,361.0
2019-12-13 08:17:00,43.56,43.57,43.55,43.57,877.0
2019-12-13 08:16:00,43.57,43.57,43.57,43.57,594.0
2019-12-13 08:15:00,43.59,43.59,43.57,43.57,426.0
2019-12-13 08:14:00,43.55,43.6,43.55,43.58,2605.0
2019-12-13 08:13:00,43.54,43.57,43.54,43.57,1251.0
2019-12-13 08:12:00,43.51,43.51,43.5,43.5,305.0
2019-12-13 08:10:00,43.51,43.51,43.5,43.5,310.0
2019-12-13 08:08:00,43.47,43.47,43.46,43.46,255.0
2019-12-13 08:07:00,43.47,43.49,43.47,43.48,1083.0
2019-12-13 08:06:00,43.45,43.46,43.45,43.46,46.0
2019-12-13 08:05:00,43.44,43.47,43.44,43.45,876.0
2019-12-13 08:04:00,43.41,43.43,43.41,43.43,269.0
2019-12-13 08:03:00,43.4,43.44,43.4,43.42,753.0
2019-12-13 08:02:00,43.44,43.44,43.4,43.4,600.0
2019-12-13 08:01:00,43.45,43.49,43.43,43.47,1165.0
2019-12-13 08:00:00,43.5,43.5,43.42,43.46,4115.0
2019-12-13 07:59:00,43.47,43.54,43.46,43.5,3029.0
2019-12-13 07:58:00,43.59,43.61,43.46,43.48,25470.0
