date,1. open,2. high,3. low,4. close,5. volume
2019-12-13 11:29:00,68.28,68.31,68.26,68.31,57916.0
2019-12-13 11:28:00,68.31,68.31,68.27,68.3,9263.0
2019-12-13 11:27:00,68.31,68.33,68.31,68.33,1316.0
2019-12-13 11:26:00,68.32,68.35,68.31,68.31,1037.0
2019-12-13 11:25:00,68.32,68.38,68.32,68.32,12755.0
2019-12-13 11:24:00,68.34,68.34,68.33,68.33,1250.0
2019-12-13 11:23:00,68.33,68.34,68.32,68.34,2699.0
2019-12-13 11:22:00,68.34,68.36,68.33,68.33,3282.0
2019-12-13 11:21:00,68.36,68.37,68.32,68.32,4733.0
2019-12-13 11:20:00,68.39,68.42,68.37,68.37,5067.0
2019-12-13 11:19:00,68.42,68.42,68.39,68.4,3379.0
2019-12-13 11:18:00,68.46,68.46,68.4,68.41,2440.0
2019-12-13 11:17:00,68.43,68.47,68.43,68.47,1187.0
2019-12-13 11:16:00,68.42,68.44,68.42,68.42,652.0
2019-12-13 11:15:00,68.43,68.43,68.4,68.42,3606.0
2019-12-13 11:14:00,68.46,68.46,68.43,68.43,1930.0
2019-12-13 11:13:00,68.4,68.47,68.39,68.47,3967.0
2019-12-13 11:12:00,68.39,68.41,68.39,68.4,1640.0
2019-12-13 11:11:00,68.42,68.42,68.38,68.39,3904.0
2019-12-13 11:10:00,68.41,68.44,68.41,68.42,4919.0
2019-12-13 11:09:00,68.39,68.42,68.37,68.4,4402.0
2019-12-13 11:08:00,68.36,68.39,68.35,68.37,3787.0
2019-12-13 11:07:00,68.38,68.38,68.33,68.34,8883.0
2019-12-13 11:06:00,68.41,68.43,68.38,68.39,2838.0
2019-12-13 11:05:00,68.4,68.41,68.4,68.41,0.0
2019-12-13 11:04:00,68.4,68.4,68.38,68.38,10209.0
2019-12-13 11:02:00,68.5,68.5,68.49,68.5,990.0
2019-12-13 11:01:00,68.51,68.54,68.51,68.53,3356.0
2019-12-13 11:00:00,68.51,68.52,68.48,68.51,15160.0
2019-12-13 10:59:00,68.49,68.53,68.47,68.53,5471.0
2019-12-13 10:58:00,68.51,68.52,68.49,68.5,4819.0
2019-12-13 10:57:00,68.52,68.53,68.52,68.53,1448.0
2019-12-13 10:56:00,68.5,68.55,68.5,68.53,4283.0
2019-12-13 10:55:00,68.47,68.53,68.47,68.51,6946.0
2019-12-13 10:54:00,68.56,68.56,68.47,68.47,4700.0
2019-12-13 10:53:00,68.59,68.59,68.55,68.57,1113.0
2019-12-13 10:52:00,68.53,68.61,68.53,68.6,5504.0
2019-12-13 10:51:00,68.52,68.54,68.5,68.53,2318.0
2019-12-13 10:50:00,68.51,68.59,68.51,68.53,2551.0
2019-12-13 10:49:00,68.56,68.56,68.5,68.5,2539.0
2019-12-13 10:48:00,68.58,68.59,68.55,68.57,3178.0
2019-12-13 10:47:00,68.65,68.65,68.6,68.6,3300.0
2019-12-13 10:46:00,68.51,68.67,68.51,68.67,3833.0
2019-12-13 10:45:00,68.55,68.55,68.47,68.5,12801.0
2019-12-13 10:44:00,68.59,68.6,68.56,68.56,1535.0
2019-12-13 10:43:00,68.54,68.59,68.53,68.59,1844.0
2019-12-13 10:42:00,68.63,68.63,68.55,68.55,7695.0
2019-12-13 10:41:00,68.61,68.68,68.58,68.61,13486.0
2019-12-13 10:40:00,68.52,68.62,68.5,68.62,3833.0
2019-12-13 10:39:00,68.47,68.55,68.47,68.55,10075.0
2019-12-13 10:38:00,68.51,68.52,68.46,68.46,2668.0
2019-12-13 10:37:00,68.6,68.6,68.53,68.55,6397.0
2019-12-13 10:36:00,68.64,68.64,68.56,68.59,4061.0
2019-12-13 10:35:00,68.71,68.72,68.61,68.66,6512.0
2019-12-13 10:34:00,68.67,68.73,68.64,68.73,6248.0
2019-12-13 10:33:00,68.81,68.82,68.68,68.68,4886.0
2019-12-13 10:32:00,68.88,68.88,68.81,68.81,5235.0
2019-12-13 10:31:00,68.8,68.88,68.78,68.87,12925.0
2019-12-13 10:30:00,68.9,68.9,68.73,68.79,12632.0
2019-12-13 10:29:00,68.93,69.02,68.89,68.91,20058.0
2019-12-13 10:28:00,69.1,69.14,68.96,68.97,4243.0
2019-12-13 10:27:00,69.19,69.21,69.05,69.07,10483.0
2019-12-13 10:26:00,69.12,69.2,69.12,69.19,6806.0
2019-12-13 10:25:00,69.08,69.14,69.08,69.1,1811.0
2019-12-13 10:24:00,69.03,69.1,69.02,69.1,2769.0
2019-12-13 10:23:00,69.04,69.04,69.03,69.04,594.0
2019-12-13 10:22:00,69.1,69.1,69.08,69.08,738.0
2019-12-13 10:21:00,69.14,69.14,69.1,69.12,2876.0
2019-12-13 10:20:00,69.11,69.15,69.09,69.15,3927.0
2019-12-13 10:19:00,69.11,69.13,69.09,69.09,2079.0
2019-12-13 10:18:00,69.08,69.11,69.08,69.11,2917.0
2019-12-13 10:17:00,69.02,69.1,69.01,69.07,5999.0
2019-12-13 10:16:00,68.95,69.02,68.93,69.02,3865.0
2019-12-13 10:15:00,69.06,69.06,68.94,68.96,4275.0
2019-12-13 10:14:00,69.12,69.12,68.98,69.03,10094.0
2019-12-13 10:13:00,69.14,69.16,69.11,69.13,4298.0
2019-12-13 10:12:00,69.17,69.2,69.13,69.13,4103.0
2019-12-13 10:11:00,69.32,69.32,69.17,69.19,3186.0
2019-12-13 10:10:00,69.16,69.32,69.16,69.31,12078.0
2019-12-13 10:09:00,69.15,69.18,69.13,69.15,3883.0
2019-12-13 10:08:00,69.16,69.17,69.1,69.13,6615.0
2019-12-13 10:07:00,69.2,69.22,69.16,69.16,9780.0
2019-12-13 10:06:00,69.07,69.23,69.06,69.19,39088.0
2019-12-13 10:05:00,69.17,69.17,69.05,69.08,15018.0
2019-12-13 10:04:00,69.01,69.18,69.01,69.18,10350.0
2019-12-13 10:03:00,69.05,69.09,68.96,69.01,18439.0
2019-12-13 10:02:00,68.79,69.09,68.78,69.03,36032.0
2019-12-13 10:01:00,68.63,68.83,68.58,68.77,14720.0
2019-12-13 10:00:00,68.57,68.64,68.56,68.64,5353.0
2019-12-13 09:59:00,68.64,68.65,68.59,68.59,3239.0
2019-12-13 09:58:00,68.61,68.64,68.6,68.64,506.0
2019-12-13 09:57:00,68.63,68.64,68.62,68.62,1844.0
2019-12-13 09:56:00,68.62,68.67,68.6,68.65,2522.0
2019-12-13 09:55:00,68.6,68.61,68.57,68.61,3231.0
2019-12-13 09:54:00,68.58,68.62,68.58,68.62,1242.0
2019-12-13 09:53:00,68.54,68.6,68.54,68.6,2383.0
2019-12-13 09:52:00,68.54,68.56,68.51,68.56,8578.0
2019-12-13 09:51:00,68.56,68.62,68.54,68.56,6686.0
2019-12-13 09:50:00,68.59,68.59,68.54,68.55,2324.0
2019-12-13 09:49:00,68.6,68.64,68.6,68.64,613.0
2019-12-13 09:48:00,68.64,68.66,68.64,68.66,1908.0
2019-12-13 09:47:00,68.64,68.65,68.61,68.61,3158.0
2019-12-13 09:46:00,68.62,68.65,68.62,68.64,5278.0
2019-12-13 09:45:00,68.65,68.67,68.62,68.62,3352.0
2019-12-13 09:44:00,68.68,68.71,68.68,68.7,1608.0
2019-12-13 09:43:00,68.72,68.72,68.67,68.7,6178.0
2019-12-13 09:42:00,68.75,68.76,68.69,68.72,2205.0
2019-12-13 09:41:00,68.6926,68.8545,68.6743,68.7426,23189.0
2019-12-13 09:40:00,68.64,68.69,68.64,68.69,11922.0
2019-12-13 09:39:00,68.59,68.65,68.57,68.65,1166.0
2019-12-13 09:38:00,68.48,68.51,68.47,68.5,2729.0
2019-12-13 09:37:00,68.65,68.65,68.49,68.49,2211.0
2019-12-13 09:36:00,68.66,68.66,68.63,68.66,3779.0
2019-12-13 09:35:00,68.51,68.68,68.51,68.67,4878.0
2019-12-13 09:34:00,68.57,68.58,68.51,68.51,5006.0
2019-12-13 09:33:00,68.61,68.61,68.58,68.58,1378.0
2019-12-13 09:32:00,68.63,68.65,68.62,68.62,6902.0
2019-12-13 09:31:00,68.6,68.68,68.59,68.65,3658.0
2019-12-13 09:30:00,68.59,68.61,68.55,68.58,5053.0
2019-12-13 09:29:00,68.59,68.61,68.58,68.58,2840.0
2019-12-13 09:28:00,68.6,68.61,68.58,68.6,3688.0
2019-12-13 09:27:00,68.57,68.61,68.56,68.61,2361.0
2019-12-13 09:26:00,68.52,68.57,68.52,68.55,5782.0
2019-12-13 09:25:00,68.45,68.52,68.45,68.52,4112.0
2019-12-13 09:24:00,68.42,68.47,68.42,68.43,5887.0
2019-12-13 09:23:00,68.45,68.45,68.37,68.43,18100.0
2019-12-13 09:22:00,68.51,68.51,68.44,68.46,3768.0
2019-12-13 09:21:00,68.58,68.58,68.52,68.54,2489.0
2019-12-13 09:20:00,68.59,68.6,68.57,68.58,2494.0
2019-12-13 09:19:00,68.57,68.61,68.56,68.58,11312.0
2019-12-13 09:18:00,68.66,68.66,68.6,68.6,3019.0
2019-12-13 09:17:00,68.7,68.7,68.64,68.66,2965.0
2019-12-13 09:16:00,68.73,68.74,68.69,68.7,2236.0
2019-12-13 09:15:00,68.74,68.74,68.69,68.72,41051.0
2019-12-13 09:14:00,68.78,68.78,68.78,68.78,10.0
2019-12-13 09:13:00,68.83,68.83,68.83,68.83,276.0
2019-12-13 09:12:00,68.76,68.86,68.73,68.86,8626.0
2019-12-13 09:11:00,68.81,68.81,68.74,68.77,793.0
2019-12-13 09:10:00,68.88,68.9,68.81,68.81,1758.0
2019-12-13 09:09:00,68.91,68.95,68.9,68.95,3421.0
2019-12-13 09:08:00,68.87,68.95,68.84,68.92,9530.0
2019-12-13 09:07:00,69.06,69.07,68.95,68.95,4716.0
2019-12-13 09:06:00,69.12,69.12,68.91,68.96,12869.0
2019-12-13 09:05:00,69.1,69.1,69.1,69.1,140.0
2019-12-13 09:04:00,69.08,69.1,69.08,69.1,230.0
2019-12-13 09:03:00,69.09,69.1,69.09,69.1,1102.0
2019-12-13 09:02:00,69.08,69.08,69.06,69.06,630.0
2019-12-13 09:01:00,69.07,69.09,69.07,69.09,442.0
2019-12-13 09:00:00,69.1,69.1,69.07,69.08,1644.0
2019-12-13 08:59:00,69.06,69.08,69.06,69.08,1318.0
2019-12-13 08:58:00,69.08,69.1,69.04,69.04,2053.0
