date,1. open,2. high,3. low,4. close,5. volume
2019-12-13 11:29:00,65.92,65.92,65.92,65.92,21141.0
2019-12-13 11:28:00,65.94,65.94,65.92,65.92,814.0
2019-12-13 11:27:00,65.94,65.96,65.94,65.94,1329.0
2019-12-13 11:26:00,65.98,65.98,65.92,65.92,1818.0
2019-12-13 11:25:00,65.96,65.96,65.96,65.96,818.0
2019-12-13 11:24:00,65.94,65.96,65.94,65.96,474.0
2019-12-13 11:23:00,65.98,65.98,65.96,65.96,2534.0
2019-12-13 11:22:00,66.02,66.02,65.98,65.98,416.0
2019-12-13 11:21:00,66.02,66.02,66.0,66.0,829.0
2019-12-13 11:20:00,66.1,66.1,66.02,66.02,5575.0
2019-12-13 11:19:00,66.12,66.12,66.12,66.12,180.0
2019-12-13 11:18:00,66.1,66.12,66.1,66.12,1788.0
2019-12-13 11:17:00,66.12,66.14,66.12,66.12,1334.0
2019-12-13 11:15:00,66.1,66.1,66.08,66.1,372.0
2019-12-13 11:14:00,66.14,66.14,66.1,66.1,1252.0
2019-12-13 11:13:00,66.14,66.14,66.14,66.14,623.0
2019-12-13 11:12:00,66.1,66.14,66.1,66.14,821.0
2019-12-13 11:11:00,66.1,66.12,66.08,66.12,1695.0
2019-12-13 11:10:00,66.1,66.12,66.08,66.12,1142.0
2019-12-13 11:09:00,66.1,66.12,66.1,66.12,1274.0
2019-12-13 11:08:00,66.1,66.12,66.06,66.08,1976.0
2019-12-13 11:07:00,66.12,66.12,66.06,66.1,3778.0
2019-12-13 11:06:00,66.14,66.16,66.12,66.16,2193.0
2019-12-13 11:05:00,66.08,66.12,66.08,66.12,721.0
2019-12-13 11:04:00,66.1,66.1,66.1,66.1,0.0
2019-12-13 11:01:00,66.14,66.18,66.14,66.14,2340.0
2019-12-13 11:00:00,66.12,66.12,66.12,66.12,397.0
2019-12-13 10:59:00,66.1,66.1,66.1,66.1,184.0
2019-12-13 10:57:00,66.12,66.18,66.12,66.12,7255.0
2019-12-13 10:56:00,66.1,66.1,66.1,66.1,666.0
2019-12-13 10:55:00,66.1,66.12,66.08,66.08,628.0
2019-12-13 10:54:00,66.16,66.16,66.1,66.1,6349.0
2019-12-13 10:52:00,66.18,66.2,66.18,66.2,85.0
2019-12-13 10:51:00,66.18,66.18,66.16,66.16,459.0
2019-12-13 10:50:00,66.22,66.24,66.22,66.22,1041.0
2019-12-13 10:49:00,66.22,66.24,66.18,66.18,602.0
2019-12-13 10:48:00,66.26,66.26,66.22,66.22,620.0
2019-12-13 10:47:00,66.3,66.3,66.28,66.28,890.0
2019-12-13 10:46:00,66.2,66.28,66.2,66.28,1264.0
2019-12-13 10:45:00,66.18,66.18,66.18,66.18,190.0
2019-12-13 10:44:00,66.24,66.24,66.24,66.24,967.0
2019-12-13 10:43:00,66.24,66.26,66.24,66.26,740.0
2019-12-13 10:42:00,66.26,66.26,66.24,66.24,1317.0
2019-12-13 10:40:00,66.18,66.26,66.16,66.26,2804.0
2019-12-13 10:39:00,66.16,66.22,66.16,66.22,526.0
2019-12-13 10:38:00,66.16,66.16,66.16,66.16,1006.0
2019-12-13 10:37:00,66.2,66.2,66.18,66.18,785.0
2019-12-13 10:36:00,66.24,66.24,66.22,66.22,358.0
2019-12-13 10:35:00,66.3,66.3,66.26,66.26,225.0
2019-12-13 10:34:00,66.28,66.3,66.26,66.3,1594.0
2019-12-13 10:33:00,66.36,66.36,66.3,66.3,2709.0
2019-12-13 10:32:00,66.36,66.38,66.36,66.38,346.0
2019-12-13 10:31:00,66.28,66.32,66.28,66.32,399.0
2019-12-13 10:30:00,66.3225,66.3821,66.282,66.3025,3829.0
2019-12-13 10:29:00,66.4,66.46,66.34,66.36,6049.0
2019-12-13 10:28:00,66.44,66.44,66.42,66.42,524.0
2019-12-13 10:27:00,66.46,66.46,66.42,66.44,796.0
2019-12-13 10:25:00,66.44,66.46,66.44,66.46,993.0
2019-12-13 10:24:00,66.42,66.42,66.42,66.42,435.0
2019-12-13 10:23:00,66.42,66.44,66.42,66.44,146.0
2019-12-13 10:22:00,66.48,66.48,66.42,66.42,933.0
2019-12-13 10:21:00,66.46,66.5,66.46,66.5,921.0
2019-12-13 10:20:00,66.48,66.48,66.48,66.48,941.0
2019-12-13 10:19:00,66.52,66.52,66.5,66.5,640.0
2019-12-13 10:18:00,66.5,66.52,66.5,66.52,690.0
2019-12-13 10:17:00,66.46,66.48,66.46,66.48,1064.0
2019-12-13 10:16:00,66.46,66.46,66.42,66.46,770.0
2019-12-13 10:15:00,66.44,66.44,66.42,66.42,1830.0
2019-12-13 10:14:00,66.52,66.52,66.46,66.46,6572.0
2019-12-13 10:13:00,66.54,66.56,66.54,66.54,1718.0
2019-12-13 10:12:00,66.56,66.58,66.56,66.58,424.0
2019-12-13 10:11:00,66.64,66.64,66.56,66.58,1090.0
2019-12-13 10:10:00,66.64,66.66,66.64,66.66,948.0
2019-12-13 10:09:00,66.6,66.64,66.6,66.62,954.0
2019-12-13 10:08:00,66.6,66.6,66.52,66.58,1982.0
2019-12-13 10:07:00,66.64,66.66,66.62,66.62,947.0
2019-12-13 10:06:00,66.68,66.7,66.64,66.64,2156.0
2019-12-13 10:05:00,66.66,66.66,66.6,66.6,1054.0
2019-12-13 10:04:00,66.54,66.66,66.54,66.66,6424.0
2019-12-13 10:03:00,66.6025,66.6624,66.5423,66.5425,5219.0
2019-12-13 10:02:00,66.42,66.58,66.42,66.58,5054.0
2019-12-13 10:01:00,66.3,66.46,66.3,66.42,6564.0
2019-12-13 10:00:00,66.3,66.3,66.26,66.3,2367.0
2019-12-13 09:59:00,66.32,66.32,66.32,66.32,161.0
2019-12-13 09:58:00,66.32,66.32,66.32,66.32,76.0
2019-12-13 09:57:00,66.32,66.32,66.32,66.32,69.0
2019-12-13 09:56:00,66.3,66.34,66.3,66.3,3176.0
2019-12-13 09:55:00,66.28,66.3,66.26,66.3,3932.0
2019-12-13 09:54:00,66.24,66.28,66.24,66.28,1593.0
2019-12-13 09:53:00,66.2,66.22,66.18,66.22,267.0
2019-12-13 09:52:00,66.2,66.2,66.2,66.2,498.0
2019-12-13 09:51:00,66.18,66.2,66.18,66.2,579.0
2019-12-13 09:50:00,66.18,66.2,66.16,66.18,801.0
2019-12-13 09:49:00,66.24,66.24,66.18,66.18,2583.0
2019-12-13 09:48:00,66.22,66.24,66.22,66.24,688.0
2019-12-13 09:47:00,66.16,66.2,66.16,66.2,3251.0
2019-12-13 09:46:00,66.12,66.14,66.12,66.14,764.0
2019-12-13 09:45:00,66.12,66.12,66.1,66.1,485.0
2019-12-13 09:44:00,66.2,66.2,66.14,66.14,584.0
2019-12-13 09:43:00,66.18,66.18,66.18,66.18,1267.0
2019-12-13 09:42:00,66.2,66.2,66.16,66.16,1013.0
2019-12-13 09:41:00,66.16,66.24,66.14,66.2,6291.0
2019-12-13 09:40:00,66.18,66.18,66.18,66.18,252.0
2019-12-13 09:39:00,66.12,66.2,66.12,66.2,605.0
2019-12-13 09:38:00,66.14,66.14,66.12,66.12,1738.0
2019-12-13 09:37:00,66.16,66.18,66.14,66.16,4166.0
2019-12-13 09:36:00,66.16,66.18,66.16,66.18,1847.0
2019-12-13 09:35:00,66.18,66.22,66.18,66.2,2009.0
2019-12-13 09:34:00,66.16,66.16,66.12,66.16,2848.0
2019-12-13 09:33:00,66.18,66.18,66.16,66.16,1505.0
2019-12-13 09:32:00,66.2,66.22,66.2,66.2,1483.0
2019-12-13 09:31:00,66.14,66.22,66.14,66.2,2389.0
2019-12-13 09:30:00,66.22,66.24,66.14,66.14,2736.0
2019-12-13 09:29:00,66.22,66.22,66.22,66.22,825.0
2019-12-13 09:28:00,66.24,66.24,66.24,66.24,207.0
2019-12-13 09:27:00,66.2,66.24,66.2,66.24,271.0
2019-12-13 09:26:00,66.22,66.24,66.2,66.2,2858.0
2019-12-13 09:25:00,66.2,66.2,66.2,66.2,41.0
2019-12-13 09:24:00,66.18,66.18,66.18,66.18,280.0
2019-12-13 09:23:00,66.18,66.22,66.18,66.2,1273.0
