date,1. open,2. high,3. low,4. close,5. volume
2019-12-13 11:29:00,50.86,50.87,50.85,50.87,2207.0
2019-12-13 11:28:00,50.88,50.89,50.85,50.86,831.0
2019-12-13 11:27:00,50.88,50.88,50.87,50.88,2964.0
2019-12-13 11:26:00,50.88,50.88,50.86,50.87,1851.0
2019-12-13 11:25:00,50.88,50.9,50.88,50.9,1574.0
2019-12-13 11:24:00,50.9,50.9,50.9,50.9,3574.0
2019-12-13 11:23:00,50.89,50.9,50.89,50.9,1295.0
2019-12-13 11:22:00,50.91,50.91,50.89,50.89,2241.0
2019-12-13 11:21:00,50.93,50.93,50.9,50.91,1762.0
2019-12-13 11:20:00,50.99,50.99,50.94,50.94,8757.0
2019-12-13 11:19:00,51.0,51.0,50.99,50.99,1850.0
2019-12-13 11:18:00,51.01,51.01,50.99,51.0,5160.0
2019-12-13 11:17:00,51.01,51.01,51.0,51.01,1403.0
2019-12-13 11:16:00,50.99,51.0,50.99,51.0,3112.0
2019-12-13 11:15:00,50.98,50.99,50.98,50.99,2736.0
2019-12-13 11:14:00,51.0,51.01,51.0,51.0,3510.0
2019-12-13 11:13:00,50.98,50.99,50.96,50.98,4801.0
2019-12-13 11:12:00,50.96,50.98,50.95,50.98,12244.0
2019-12-13 11:11:00,50.93,50.94,50.92,50.94,2157.0
2019-12-13 11:10:00,50.92,50.96,50.92,50.94,2045.0
2019-12-13 11:09:00,50.88,50.93,50.88,50.93,2782.0
2019-12-13 11:08:00,50.83,50.88,50.83,50.87,7978.0
2019-12-13 11:07:00,50.87,50.87,50.82,50.82,5643.0
2019-12-13 11:06:00,50.9,50.91,50.88,50.88,4314.0
2019-12-13 11:05:00,50.89,50.89,50.89,50.89,0.0
2019-12-13 11:04:00,50.85,50.85,50.85,50.85,8561.0
2019-12-13 11:02:00,50.89,50.89,50.89,50.89,132.0
2019-12-13 11:01:00,50.9,50.95,50.89,50.91,7003.0
2019-12-13 11:00:00,50.89,50.91,50.88,50.91,1867.0
2019-12-13 10:59:00,50.87,50.88,50.87,50.87,2462.0
2019-12-13 10:58:00,50.86,50.86,50.86,50.86,709.0
2019-12-13 10:57:00,50.88,50.9,50.86,50.86,3880.0
2019-12-13 10:56:00,50.86,50.88,50.86,50.88,659.0
2019-12-13 10:55:00,50.84,50.87,50.84,50.85,1813.0
2019-12-13 10:54:00,50.9,50.9,50.84,50.84,3264.0
2019-12-13 10:53:00,50.91,50.91,50.91,50.91,587.0
2019-12-13 10:52:00,50.92,50.93,50.92,50.92,2679.0
2019-12-13 10:51:00,50.9,50.92,50.9,50.91,2144.0
2019-12-13 10:50:00,50.93,50.97,50.92,50.92,3704.0
2019-12-13 10:49:00,50.95,50.95,50.92,50.92,2287.0
2019-12-13 10:48:00,50.96,50.96,50.95,50.95,1294.0
2019-12-13 10:47:00,50.96,50.98,50.96,50.97,598.0
2019-12-13 10:46:00,50.92,50.96,50.91,50.94,9152.0
2019-12-13 10:45:00,50.9,50.92,50.9,50.92,3188.0
2019-12-13 10:44:00,50.98,50.98,50.9,50.9,15746.0
2019-12-13 10:43:00,50.97,50.99,50.97,50.99,1067.0
2019-12-13 10:42:00,51.02,51.02,51.01,51.01,736.0
