date,1. open,2. high,3. low,4. close,5. volume
2019-12-13 11:29:00,90.7,90.7,90.66,90.68,20589.0
2019-12-13 11:28:00,90.7,90.72,90.66,90.7,2516.0
2019-12-13 11:27:00,90.72,90.72,90.68,90.72,3667.0
2019-12-13 11:26:00,90.76,90.76,90.68,90.7,3603.0
2019-12-13 11:25:00,90.74,90.76,90.72,90.76,1800.0
2019-12-13 11:24:00,90.82,90.82,90.78,90.78,692.0
2019-12-13 11:23:00,90.78,90.8,90.78,90.78,3174.0
2019-12-13 11:22:00,90.82,90.82,90.8,90.8,236.0
2019-12-13 11:21:00,90.8,90.86,90.8,90.82,3460.0
2019-12-13 11:20:00,90.82,90.82,90.76,90.78,2462.0
2019-12-13 11:19:00,90.84,90.86,90.8,90.84,3198.0
2019-12-13 11:18:00,90.84,90.84,90.78,90.8,1691.0
2019-12-13 11:17:00,90.7,90.9,90.7,90.86,5445.0
2019-12-13 11:16:00,90.7,90.7,90.7,90.7,183.0
2019-12-13 11:15:00,90.74,90.76,90.7,90.7,1043.0
2019-12-13 11:14:00,90.76,90.76,90.76,90.76,538.0
2019-12-13 11:13:00,90.84,90.84,90.78,90.78,1372.0
2019-12-13 11:12:00,90.82,90.84,90.82,90.82,1023.0
2019-12-13 11:11:00,90.86,90.88,90.82,90.82,1225.0
2019-12-13 11:10:00,90.8,90.86,90.78,90.86,1791.0
2019-12-13 11:09:00,90.78,90.82,90.78,90.8,2403.0
2019-12-13 11:08:00,90.78,90.78,90.76,90.78,758.0
2019-12-13 11:07:00,90.8,90.8,90.76,90.76,2016.0
2019-12-13 11:06:00,90.82,90.82,90.8,90.8,1417447.0
2019-12-13 11:04:00,90.78,90.78,90.78,90.78,0.0
2019-12-13 11:02:00,90.8,90.8,90.8,90.8,1609.0
2019-12-13 11:01:00,90.74,90.8,90.72,90.8,2001.0
2019-12-13 10:59:00,90.74,90.78,90.72,90.78,2473.0
2019-12-13 10:58:00,90.8,90.82,90.76,90.76,11016.0
2019-12-13 10:57:00,90.82,90.82,90.82,90.82,90.0
2019-12-13 10:56:00,90.78,90.86,90.78,90.86,3716.0
2019-12-13 10:55:00,90.8,90.82,90.76,90.76,5683.0
2019-12-13 10:54:00,90.82,90.84,90.8,90.8,3389.0
2019-12-13 10:53:00,90.88,90.88,90.84,90.84,243.0
2019-12-13 10:52:00,90.82,90.9,90.82,90.9,1328.0
2019-12-13 10:51:00,90.84,90.86,90.84,90.84,889.0
2019-12-13 10:50:00,90.86,90.96,90.86,90.88,2549.0
2019-12-13 10:49:00,90.84,90.86,90.84,90.86,704.0
