date,1. open,2. high,3. low,4. close,5. volume
2019-12-13 11:29:00,123.9,123.92,123.84,123.88,69991.0
2019-12-13 11:28:00,123.84,123.92,123.8,123.88,3559.0
2019-12-13 11:27:00,123.82,123.88,123.82,123.88,3732.0
2019-12-13 11:26:00,123.86,123.9,123.84,123.84,1449.0
2019-12-13 11:25:00,123.9,123.92,123.86,123.86,4174.0
2019-12-13 11:24:00,123.94,123.94,123.86,123.88,1458.0
2019-12-13 11:23:00,123.9,123.94,123.88,123.94,1199.0
2019-12-13 11:22:00,123.98,124.0,123.9,123.9,3422.0
2019-12-13 11:21:00,123.98,124.0,123.92,123.96,8436.0
2019-12-13 11:20:00,124.1,124.1,123.98,123.98,5065.0
2019-12-13 11:19:00,124.12,124.12,124.1,124.1,3584.0
2019-12-13 11:18:00,124.08,124.12,124.04,124.1,1919.0
2019-12-13 11:17:00,124.06,124.12,124.04,124.1,5449.0
2019-12-13 11:16:00,124.06,124.08,124.06,124.06,1740.0
2019-12-13 11:15:00,124.1,124.1,124.02,124.04,3325.0
2019-12-13 11:14:00,124.1,124.12,124.08,124.12,3385.0
2019-12-13 11:13:00,124.1,124.12,124.06,124.12,3371.0
2019-12-13 11:12:00,124.06,124.1,124.04,124.08,5819.0
2019-12-13 11:11:00,124.0,124.04,123.98,124.04,1785.0
2019-12-13 11:10:00,123.92,124.04,123.92,124.0,4794.0
2019-12-13 11:09:00,123.82,123.94,123.82,123.92,5980.0
2019-12-13 11:08:00,123.8,123.84,123.78,123.84,2568.0
2019-12-13 11:07:00,123.8,123.82,123.78,123.8,2894.0
2019-12-13 11:06:00,123.78,123.86,123.78,123.8,6601.0
2019-12-13 11:05:00,123.68,123.76,123.66,123.76,4833.0
2019-12-13 11:04:00,123.76,123.76,123.66,123.68,1734694.0
2019-12-13 11:03:00,123.76,123.76,123.76,123.76,0.0
2019-12-13 11:02:00,123.7,123.7,123.7,123.7,100.0
2019-12-13 11:01:00,123.62,123.7,123.62,123.7,1314.0
2019-12-13 11:00:00,123.56,123.64,123.56,123.64,1612.0
2019-12-13 10:59:00,123.46,123.58,123.46,123.54,3447.0
2019-12-13 10:58:00,123.48,123.5,123.46,123.48,2054.0
2019-12-13 10:57:00,123.58,123.58,123.5,123.5,913.0
2019-12-13 10:56:00,123.54,123.58,123.52,123.58,2256.0
2019-12-13 10:55:00,123.56,123.64,123.54,123.56,3740.0
2019-12-13 10:54:00,123.7,123.74,123.58,123.58,1507.0
2019-12-13 10:53:00,123.82,123.82,123.72,123.72,1181.0
2019-12-13 10:52:00,123.74,123.84,123.74,123.84,1713.0
2019-12-13 10:51:00,123.74,123.78,123.72,123.74,3591.0
2019-12-13 10:50:00,123.76,123.9,123.76,123.78,5025.0
2019-12-13 10:49:00,123.76,123.76,123.68,123.72,1584.0
2019-12-13 10:48:00,123.84,123.84,123.76,123.78,1315.0
2019-12-13 10:47:00,123.92,123.94,123.82,123.82,1373.0
2019-12-13 10:46:00,123.7,123.94,123.6,123.9,16713.0
2019-12-13 10:45:00,123.74,123.76,123.68,123.74,2677.0
2019-12-13 10:44:00,123.86,123.86,123.76,123.76,1191.0
2019-12-13 10:43:00,123.88,123.9,123.84,123.84,1677.0
2019-12-13 10:42:00,123.96,123.96,123.88,123.88,1358.0
2019-12-13 10:41:00,123.92,123.98,123.9,123.92,2388.0
2019-12-13 10:40:00,123.78,123.94,123.76,123.9,2163.0
2019-12-13 10:39:00,123.72,123.8,123.7,123.8,17130.0
2019-12-13 10:38:00,123.82,123.82,123.74,123.78,2869.0
2019-12-13 10:37:00,123.92,123.92,123.82,123.82,3018.0
2019-12-13 10:36:00,123.9,123.92,123.82,123.88,5931.0
2019-12-13 10:35:00,123.92,123.96,123.82,123.9,5615.0
2019-12-13 10:34:00,123.8652,124.0392,123.859,123.9252,11614.0
2019-12-13 10:33:00,124.0,124.0,123.88,123.9,1602.0
2019-12-13 10:32:00,123.94,124.04,123.94,124.02,1795.0
2019-12-13 10:31:00,123.82,123.96,123.82,123.94,5072.0
2019-12-13 10:30:00,123.9646,124.0762,123.7759,123.8446,14732.0
2019-12-13 10:29:00,123.96,124.1,123.94,123.98,13163.0
2019-12-13 10:28:00,124.02,124.16,123.98,123.98,4365.0
2019-12-13 10:27:00,124.16,124.16,123.98,124.08,5903.0
2019-12-13 10:26:00,124.06,124.2,124.06,124.2,3443.0
2019-12-13 10:25:00,124.02,124.1,124.02,124.1,7772.0
2019-12-13 10:24:00,124.0,124.08,123.98,124.08,2183.0
2019-12-13 10:23:00,124.0,124.02,123.96,124.02,3516.0
2019-12-13 10:22:00,124.04,124.06,124.0,124.06,3368.0
2019-12-13 10:21:00,124.06,124.12,124.04,124.1,2365.0
2019-12-13 10:20:00,124.0,124.16,123.96,124.1,2313.0
2019-12-13 10:19:00,124.02,124.08,123.98,124.02,9007.0
2019-12-13 10:18:00,123.92,124.04,123.92,124.02,2469.0
2019-12-13 10:17:00,123.82,124.02,123.82,123.92,6077.0
2019-12-13 10:16:00,123.8,123.86,123.74,123.84,2911.0
2019-12-13 10:15:00,123.86399999999999,124.0606,123.8204,123.844,5024.0
2019-12-13 10:14:00,123.98,123.98,123.82,123.86,7670.0
2019-12-13 10:13:00,124.04,124.04,123.98,123.98,2361.0
2019-12-13 10:12:00,123.96,124.12,123.92,124.0,6795.0
2019-12-13 10:11:00,124.02,124.02,123.88,123.96,6499.0
2019-12-13 10:10:00,123.98,124.1,123.98,124.06,8083.0
2019-12-13 10:09:00,123.9,123.96,123.9,123.92,1865.0
2019-12-13 10:08:00,123.905,124.0187,123.8786,123.885,5686.0
2019-12-13 10:07:00,124.06,124.12,123.92,123.92,4727.0
2019-12-13 10:06:00,124.08,124.2,124.04,124.06,13553.0
2019-12-13 10:05:00,124.182,124.2875,124.0673,124.08200000000001,3999.0
2019-12-13 10:04:00,124.04,124.18,123.98,124.18,4885.0
2019-12-13 10:03:00,124.2,124.2,124.0,124.02,13223.0
2019-12-13 10:02:00,123.78,124.2,123.76,124.14,20112.0
2019-12-13 10:01:00,123.56,123.86,123.52,123.78,10563.0
2019-12-13 10:00:00,123.54,123.63,123.45,123.6,9105.0
2019-12-13 09:59:00,123.6,123.6,123.54,123.58,2816.0
