date,1. open,2. high,3. low,4. close,5. volume
2019-12-13 11:29:00,117.58,117.6,117.54,117.56,62628.0
2019-12-13 11:28:00,117.6,117.6,117.54,117.6,4808.0
2019-12-13 11:27:00,117.56,117.6,117.56,117.6,2459.0
2019-12-13 11:26:00,117.62,117.64,117.56,117.56,7097.0
2019-12-13 11:25:00,117.6,117.62,117.58,117.58,5015.0
2019-12-13 11:24:00,117.66,117.68,117.62,117.62,1926.0
2019-12-13 11:23:00,117.6,117.66,117.6,117.66,2840.0
2019-12-13 11:22:00,117.64,117.64,117.62,117.62,1114.0
2019-12-13 11:21:00,117.64,117.64,117.58,117.62,6657.0
2019-12-13 11:20:00,117.7,117.72,117.64,117.64,6383.0
2019-12-13 11:19:00,117.7,117.72,117.7,117.72,3135.0
2019-12-13 11:18:00,117.76,117.76,117.7,117.7,3894.0
2019-12-13 11:17:00,117.72,117.78,117.72,117.78,4343.0
2019-12-13 11:16:00,117.78,117.78,117.7,117.72,6137.0
2019-12-13 11:15:00,117.76,117.8,117.74,117.78,5723.0
2019-12-13 11:14:00,117.86,117.86,117.78,117.8,3881.0
2019-12-13 11:13:00,117.82,117.88,117.82,117.86,3173.0
2019-12-13 11:12:00,117.82,117.84,117.82,117.84,2429.0
2019-12-13 11:11:00,117.86,117.86,117.82,117.82,4653.0
2019-12-13 11:10:00,117.8,117.9,117.8,117.88,2842.0
2019-12-13 11:09:00,117.78,117.82,117.78,117.8,5802.0
2019-12-13 11:08:00,117.7,117.8,117.7,117.78,4833.0
2019-12-13 11:07:00,117.76,117.76,117.7,117.72,2318.0
2019-12-13 11:06:00,117.82,117.84,117.78,117.78,3992.0
2019-12-13 11:05:00,117.78,117.8,117.78,117.8,0.0
2019-12-13 11:04:00,117.82,117.82,117.8,117.8,12030.0
2019-12-13 11:02:00,117.96,118.0,117.94,117.94,3478.0
2019-12-13 11:01:00,117.94,118.0,117.94,117.94,3041.0
2019-12-13 11:00:00,117.9,117.97,117.89,117.96,5462.0
2019-12-13 10:59:00,117.88,117.94,117.88,117.9,4676.0
2019-12-13 10:58:00,117.9,117.92,117.88,117.9,3337.0
2019-12-13 10:57:00,117.96,117.96,117.88,117.92,1285.0
2019-12-13 10:56:00,117.86,117.92,117.86,117.9,1844.0
2019-12-13 10:55:00,117.84,117.92,117.84,117.84,1953.0
2019-12-13 10:54:00,117.98,117.98,117.82,117.84,1718.0
2019-12-13 10:53:00,118.04,118.04,117.98,118.0,1759.0
2019-12-13 10:52:00,117.98,118.08,117.98,118.08,3537.0
2019-12-13 10:51:00,117.94,117.98,117.92,117.98,2555.0
2019-12-13 10:50:00,117.88,118.06,117.88,117.96,2980.0
2019-12-13 10:49:00,117.94,117.94,117.86,117.9,3794.0
2019-12-13 10:48:00,118.06,118.06,117.94,117.96,1159.0
2019-12-13 10:47:00,118.04,118.1,118.04,118.04,1858.0
2019-12-13 10:46:00,117.82,118.08,117.82,118.06,6609.0
2019-12-13 10:45:00,117.86,117.88,117.8,117.84,1370.0
2019-12-13 10:44:00,117.92,117.94,117.86,117.86,920.0
2019-12-13 10:43:00,117.94,117.94,117.88,117.94,2027.0
2019-12-13 10:42:00,117.96,118.02,117.96,117.96,2032.0
2019-12-13 10:41:00,117.94,118.02,117.92,117.98,3474.0
2019-12-13 10:40:00,117.8,117.96,117.78,117.94,3782.0
2019-12-13 10:39:00,117.68,117.84,117.68,117.84,2398.0
2019-12-13 10:38:00,117.78,117.78,117.66,117.68,8871.0
2019-12-13 10:37:00,117.86,117.88,117.76,117.8,3369.0
2019-12-13 10:36:00,117.94,117.94,117.82,117.82,4356.0
2019-12-13 10:35:00,117.94,118.0,117.88,117.94,3150.0
2019-12-13 10:34:00,118.0,118.0,117.92,118.0,6849.0
2019-12-13 10:33:00,118.16,118.16,118.04,118.04,1586.0
2019-12-13 10:32:00,118.16,118.18,118.12,118.14,3536.0
2019-12-13 10:31:00,118.04,118.2,118.0,118.2,2157.0
2019-12-13 10:30:00,118.1644,118.2707,118.0105,118.0444,11194.0
2019-12-13 10:29:00,118.24,118.34,118.16,118.16,15424.0
2019-12-13 10:28:00,118.38,118.42,118.24,118.24,3416.0
2019-12-13 10:27:00,118.56,118.6,118.3,118.38,8207.0
2019-12-13 10:26:00,118.46,118.56,118.46,118.56,4323.0
2019-12-13 10:25:00,118.4,118.48,118.4,118.44,3969.0
2019-12-13 10:24:00,118.4,118.44,118.38,118.44,1587.0
2019-12-13 10:23:00,118.38,118.4,118.38,118.4,330.0
2019-12-13 10:22:00,118.44,118.46,118.4,118.44,5191.0
2019-12-13 10:21:00,118.42,118.46,118.42,118.46,1206.0
2019-12-13 10:20:00,118.36,118.44,118.34,118.44,5594.0
2019-12-13 10:19:00,118.42,118.44,118.36,118.36,4382.0
2019-12-13 10:18:00,118.34,118.4,118.34,118.4,3013.0
2019-12-13 10:17:00,118.3,118.38,118.3,118.34,4031.0
2019-12-13 10:16:00,118.24,118.28,118.2,118.28,2628.0
2019-12-13 10:15:00,118.38,118.38,118.22,118.26,5592.0
2019-12-13 10:14:00,118.48,118.5,118.3,118.34,5270.0
2019-12-13 10:13:00,118.54,118.62,118.48,118.48,2474.0
2019-12-13 10:12:00,118.56,118.6,118.52,118.52,5323.0
2019-12-13 10:11:00,118.72,118.72,118.56,118.62,11351.0
2019-12-13 10:10:00,118.56,118.76,118.56,118.76,3922.0
2019-12-13 10:09:00,118.56,118.6,118.54,118.54,3111.0
2019-12-13 10:08:00,118.62,118.62,118.46,118.5,4962.0
2019-12-13 10:07:00,118.66,118.72,118.6,118.62,3453.0
2019-12-13 10:06:00,118.72,118.8,118.66,118.66,9927.0
2019-12-13 10:05:00,118.74,118.74,118.6,118.7,7423.0
2019-12-13 10:04:00,118.56,118.78,118.56,118.78,9710.0
2019-12-13 10:03:00,118.72,118.76,118.5,118.52,9920.0
2019-12-13 10:02:00,118.3823,118.8134,118.3331,118.6623,26049.0
2019-12-13 10:01:00,118.04,118.34,117.96,118.34,12708.0
2019-12-13 10:00:00,117.98,118.07,117.91,118.06,1812.0
2019-12-13 09:59:00,118.04,118.06,118.0,118.0,2393.0
2019-12-13 09:58:00,118.0,118.06,117.98,118.04,18548.0
2019-12-13 09:57:00,117.98,118.0,117.98,118.0,1366.0
2019-12-13 09:56:00,117.92,118.0,117.92,117.98,10142.0
2019-12-13 09:55:00,117.9,117.92,117.88,117.9,3023.0
2019-12-13 09:54:00,117.9,117.92,117.9,117.92,1194.0
2019-12-13 09:53:00,117.86,117.9,117.86,117.9,10327.0
2019-12-13 09:52:00,117.9,117.92,117.84,117.88,5861.0
2019-12-13 09:51:00,117.78,117.92,117.78,117.9,1881.0
2019-12-13 09:50:00,117.76,117.84,117.76,117.76,13358.0
2019-12-13 09:49:00,117.88,117.88,117.78,117.8,2556.0
2019-12-13 09:48:00,117.84,117.84,117.84,117.84,653.0
2019-12-13 09:47:00,117.82,117.88,117.82,117.86,468.0
2019-12-13 09:46:00,117.72,117.8,117.72,117.8,2972.0
2019-12-13 09:45:00,117.7,117.76,117.7,117.7,615.0
2019-12-13 09:44:00,117.72,117.74,117.72,117.72,423.0
2019-12-13 09:43:00,117.8,117.8,117.68,117.7,7221.0
2019-12-13 09:42:00,117.8,117.8,117.72,117.8,2505.0
2019-12-13 09:41:00,117.6844,117.9905,117.6501,117.8244,18383.0
2019-12-13 09:40:00,117.62,117.7,117.6,117.7,7830.0
2019-12-13 09:39:00,117.5,117.62,117.48,117.62,24543.0
2019-12-13 09:38:00,117.48,117.56,117.48,117.5,7732.0
2019-12-13 09:37:00,117.68,117.68,117.5,117.5,1308.0
2019-12-13 09:36:00,117.66,117.7,117.64,117.66,2117.0
2019-12-13 09:35:00,117.52,117.7,117.5,117.68,10912.0
2019-12-13 09:34:00,117.62,117.62,117.48,117.5,8802.0
2019-12-13 09:33:00,117.76,117.76,117.62,117.62,4821.0
2019-12-13 09:32:00,117.9,117.9,117.76,117.78,13260.0
2019-12-13 09:31:00,117.88,117.94,117.84,117.94,1273.0
2019-12-13 09:30:00,117.86,117.92,117.82,117.9,3947.0
2019-12-13 09:29:00,117.88,117.92,117.84,117.84,2482.0
2019-12-13 09:28:00,117.86,117.9,117.86,117.88,4741.0
2019-12-13 09:27:00,117.82,117.86,117.8,117.86,2011.0
2019-12-13 09:26:00,117.78,117.84,117.78,117.8,3094.0
2019-12-13 09:25:00,117.7,117.8,117.7,117.78,6800.0
2019-12-13 09:24:00,117.76,117.78,117.68,117.7,4059.0
2019-12-13 09:23:00,117.74,117.74,117.68,117.7,4076.0
2019-12-13 09:22:00,117.8,117.8,117.74,117.78,25901.0
2019-12-13 09:21:00,117.86,117.86,117.8,117.82,2296.0
2019-12-13 09:20:00,117.84,117.88,117.82,117.88,2263.0
2019-12-13 09:19:00,117.84,117.86,117.82,117.84,1447.0
2019-12-13 09:18:00,117.92,117.92,117.82,117.82,7248.0
2019-12-13 09:17:00,117.94,117.96,117.86,117.9,3236.0
2019-12-13 09:16:00,118.04,118.08,117.9,117.92,12887.0
2019-12-13 09:15:00,118.06,118.06,118.02,118.06,24241.0
2019-12-13 09:14:00,118.18,118.18,118.16,118.18,2074.0
2019-12-13 09:12:00,118.18,118.26,118.16,118.18,6001.0
2019-12-13 09:11:00,118.2,118.2,118.1,118.16,2392.0
2019-12-13 09:10:00,118.28,118.28,118.16,118.2,7837.0
2019-12-13 09:09:00,118.32,118.4,118.3,118.34,5869.0
2019-12-13 09:08:00,118.18,118.34,118.16,118.3,1835.0
2019-12-13 09:07:00,118.34,118.34,118.18,118.18,2708.0
2019-12-13 09:06:00,118.4043,118.53,118.2097,118.3843,14713.0
2019-12-13 09:05:00,118.4,118.4,118.4,118.4,464.0
2019-12-13 09:04:00,118.36,118.4,118.34,118.4,1942.0
2019-12-13 09:03:00,118.32,118.38,118.32,118.38,1270.0
2019-12-13 09:02:00,118.38,118.38,118.3,118.3,377.0
2019-12-13 09:01:00,118.38,118.38,118.38,118.38,125.0
2019-12-13 09:00:00,118.4,118.44,118.36,118.36,1692.0
2019-12-13 08:59:00,118.3,118.38,118.3,118.38,4056.0
2019-12-13 08:58:00,118.34,118.34,118.3,118.3,462.0
2019-12-13 08:57:00,118.38,118.38,118.34,118.34,892.0
2019-12-13 08:56:00,118.42,118.42,118.4,118.4,856.0
2019-12-13 08:55:00,118.34,118.4,118.34,118.4,2233.0
2019-12-13 08:54:00,118.34,118.34,118.34,118.34,528.0
2019-12-13 08:53:00,118.34,118.34,118.3,118.32,425.0
2019-12-13 08:52:00,118.36,118.36,118.34,118.34,1482.0
2019-12-13 08:51:00,118.34,118.36,118.32,118.36,918.0
2019-12-13 08:50:00,118.3,118.34,118.3,118.34,1380.0
2019-12-13 08:49:00,118.32,118.32,118.28,118.3,1679.0
2019-12-13 08:48:00,118.36,118.38,118.34,118.34,713.0
2019-12-13 08:47:00,118.32,118.36,118.32,118.36,3569.0
2019-12-13 08:46:00,118.36,118.38,118.32,118.34,3093.0
2019-12-13 08:45:00,118.36,118.36,118.34,118.34,131.0
2019-12-13 08:44:00,118.42,118.42,118.38,118.38,2808.0
2019-12-13 08:43:00,118.42,118.44,118.42,118.44,1354.0
2019-12-13 08:42:00,118.44,118.48,118.44,118.44,4062.0
2019-12-13 08:41:00,118.5,118.5,118.48,118.48,2026.0
2019-12-13 08:40:00,118.66,118.66,118.52,118.52,6399.0
2019-12-13 08:39:00,118.66,118.66,118.66,118.66,1697.0
2019-12-13 08:38:00,118.6,118.68,118.6,118.68,7261.0
2019-12-13 08:37:00,118.6,118.6,118.6,118.6,70.0
2019-12-13 08:36:00,118.54,118.56,118.54,118.56,2346.0
2019-12-13 08:35:00,118.5,118.52,118.48,118.52,1017.0
2019-12-13 08:34:00,118.46,118.5,118.46,118.5,1956.0
2019-12-13 08:33:00,118.46,118.46,118.44,118.46,4720.0
2019-12-13 08:32:00,118.5,118.54,118.48,118.48,2587.0
2019-12-13 08:31:00,118.42,118.5,118.4,118.5,5403.0
2019-12-13 08:30:00,118.44,118.48,118.42,118.42,2761.0
2019-12-13 08:29:00,118.34,118.46,118.34,118.46,5623.0
2019-12-13 08:28:00,118.32,118.36,118.32,118.34,249.0
2019-12-13 08:27:00,118.38,118.42,118.34,118.36,2878.0
2019-12-13 08:26:00,118.42,118.42,118.38,118.38,1051.0
2019-12-13 08:25:00,118.44,118.44,118.44,118.44,269.0
2019-12-13 08:24:00,118.44,118.46,118.44,118.46,8063.0
2019-12-13 08:23:00,118.44,118.44,118.42,118.44,784.0
2019-12-13 08:22:00,118.48,118.48,118.48,118.48,159.0
2019-12-13 08:21:00,118.38,118.5,118.38,118.5,1818.0
2019-12-13 08:20:00,118.38,118.4,118.38,118.4,251.0
2019-12-13 08:19:00,118.36,118.38,118.36,118.38,653.0
2019-12-13 08:18:00,118.42,118.42,118.42,118.42,17.0
2019-12-13 08:17:00,118.38,118.44,118.38,118.44,2152.0
2019-12-13 08:16:00,118.4,118.4,118.4,118.4,206.0
2019-12-13 08:15:00,118.44,118.44,118.38,118.38,2166.0
2019-12-13 08:14:00,118.5,118.52,118.44,118.44,3190.0
2019-12-13 08:13:00,118.5,118.5,118.48,118.5,270.0
2019-12-13 08:12:00,118.52,118.52,118.5,118.5,664.0
2019-12-13 08:11:00,118.52,118.54,118.52,118.54,1202.0
2019-12-13 08:10:00,118.52,118.52,118.5,118.52,205.0
2019-12-13 08:09:00,118.42,118.52,118.42,118.52,4147.0
2019-12-13 08:08:00,118.44,118.46,118.4,118.42,181.0
2019-12-13 08:07:00,118.54,118.56,118.5,118.5,4488.0
2019-12-13 08:06:00,118.54,118.56,118.5,118.54,2362.0
2019-12-13 08:05:00,118.56,118.56,118.52,118.56,1308.0
2019-12-13 08:04:00,118.5,118.56,118.48,118.56,2577.0
2019-12-13 08:03:00,118.42,118.58,118.42,118.5,4003.0
2019-12-13 08:02:00,118.56,118.58,118.38,118.4,5150.0
2019-12-13 08:01:00,118.5,118.58,118.48,118.56,6419.0
2019-12-13 08:00:00,118.56,118.59,118.45,118.5,20670.0
2019-12-13 07:59:00,118.32,118.66,118.3,118.56,10500.0
2019-12-13 07:58:00,118.5438,118.6763,118.2959,118.3038,31177.0
2019-12-13 07:57:00,118.54,118.56,118.54,118.56,1900.0
2019-12-13 07:56:00,118.56,118.56,118.5,118.5,2144.0
2019-12-13 07:55:00,118.54,118.56,118.5,118.56,7740.0
2019-12-13 07:54:00,118.64,118.64,118.56,118.56,1483.0
2019-12-13 07:53:00,118.64,118.64,118.64,118.64,50.0
2019-12-13 07:52:00,118.66,118.66,118.66,118.66,1506.0
2019-12-13 07:51:00,118.66,118.68,118.64,118.68,7032.0
2019-12-13 07:50:00,118.62,118.64,118.62,118.64,1544.0
2019-12-13 07:49:00,118.58,118.64,118.58,118.62,2175.0
2019-12-13 07:48:00,118.58,118.64,118.58,118.6,4732.0
2019-12-13 07:47:00,118.62,118.62,118.58,118.58,668.0
2019-12-13 07:46:00,118.62,118.66,118.62,118.66,969.0
2019-12-13 07:45:00,118.62,118.64,118.6,118.62,1123.0
2019-12-13 07:44:00,118.62,118.66,118.62,118.64,743.0
2019-12-13 07:43:00,118.64,118.64,118.6,118.64,463.0
2019-12-13 07:42:00,118.66,118.66,118.66,118.66,600.0
2019-12-13 07:41:00,118.66,118.66,118.66,118.66,621.0
2019-12-13 07:40:00,118.54,118.68,118.54,118.68,9643.0
2019-12-13 07:39:00,118.56,118.56,118.54,118.54,543.0
2019-12-13 07:38:00,118.54,118.54,118.54,118.54,1830.0
2019-12-13 07:37:00,118.52,118.52,118.52,118.52,1814.0
2019-12-13 07:36:00,118.5,118.52,118.5,118.5,3961.0
2019-12-13 07:35:00,118.5,118.54,118.5,118.52,3231.0
2019-12-13 07:34:00,118.48,118.48,118.48,118.48,10.0
2019-12-13 07:33:00,118.46,118.48,118.46,118.48,883.0
2019-12-13 07:32:00,118.52,118.52,118.46,118.46,2438.0
2019-12-13 07:30:00,118.52,118.54,118.52,118.54,1159.0
2019-12-13 07:29:00,118.54,118.54,118.52,118.54,3886.0
2019-12-13 07:28:00,118.56,118.56,118.56,118.56,154.0
2019-12-13 07:27:00,118.58,118.58,118.58,118.58,371.0
2019-12-13 07:26:00,118.58,118.6,118.56,118.6,6222.0
2019-12-13 07:25:00,118.58,118.6,118.58,118.6,4691.0
2019-12-13 07:24:00,118.58,118.6,118.58,118.58,1380.0
2019-12-13 07:23:00,118.6,118.6,118.6,118.6,790.0
2019-12-13 07:22:00,118.6,118.64,118.6,118.6,4207.0
2019-12-13 07:21:00,118.62,118.62,118.58,118.58,1821.0
2019-12-13 07:20:00,118.64,118.64,118.6,118.6,189.0
2019-12-13 07:19:00,118.62,118.64,118.62,118.64,713.0
2019-12-13 07:18:00,118.56,118.62,118.56,118.62,2402.0
2019-12-13 07:17:00,118.62,118.62,118.54,118.56,3559.0
2019-12-13 07:16:00,118.64,118.64,118.62,118.62,3834.0
2019-12-13 07:15:00,118.64,118.64,118.62,118.64,1179.0
2019-12-13 07:14:00,118.68,118.68,118.66,118.66,1734.0
2019-12-13 07:13:00,118.76,118.76,118.66,118.68,3406.0
2019-12-13 07:12:00,118.74,118.78,118.74,118.78,201.0
2019-12-13 07:11:00,118.74,118.78,118.74,118.78,1758.0
2019-12-13 07:10:00,118.7,118.72,118.7,118.72,52.0
2019-12-13 07:09:00,118.7,118.72,118.68,118.72,3486.0
2019-12-13 07:08:00,118.76,118.76,118.7,118.7,1335.0
2019-12-13 07:07:00,118.76,118.76,118.74,118.76,509.0
2019-12-13 07:06:00,118.76,118.76,118.74,118.76,961.0
2019-12-13 07:05:00,118.78,118.78,118.76,118.76,490.0
2019-12-13 07:04:00,118.78,118.8,118.76,118.78,2188.0
2019-12-13 07:03:00,118.74,118.8,118.74,118.78,15243.0
2019-12-13 07:02:00,118.74,118.76,118.72,118.76,177097.0
2019-12-13 06:59:00,118.84,118.86,118.84,118.86,1232.0
2019-12-13 06:58:00,118.82,118.84,118.82,118.84,361.0
2019-12-13 06:57:00,118.84,118.84,118.82,118.84,1593.0
2019-12-13 06:56:00,118.84,118.86,118.84,118.86,101.0
2019-12-13 06:55:00,118.86,118.86,118.84,118.86,2702.0
2019-12-13 06:54:00,118.86,118.86,118.84,118.86,1236.0
2019-12-13 06:53:00,118.84,118.86,118.84,118.86,1290.0
2019-12-13 06:52:00,118.86,118.86,118.84,118.84,820.0
2019-12-13 06:51:00,118.86,118.9,118.86,118.9,2461.0
2019-12-13 06:50:00,118.86,118.88,118.86,118.88,602.0
2019-12-13 06:49:00,118.86,118.88,118.84,118.86,2253.0
