date,1. open,2. high,3. low,4. close,5. volume
2019-12-13 11:29:00,183.62,183.7,183.44,183.52,27951.0
2019-12-13 11:28:00,183.7,183.7,183.62,183.64,1453.0
2019-12-13 11:27:00,183.66,183.7,183.62,183.68,4319.0
2019-12-13 11:26:00,183.68,183.74,183.64,183.68,2354.0
2019-12-13 11:25:00,183.74,183.78,183.64,183.68,3002.0
2019-12-13 11:24:00,183.82,183.88,183.78,183.8,5344.0
2019-12-13 11:23:00,183.5,183.84,183.5,183.84,4104.0
2019-12-13 11:22:00,183.48,183.58,183.48,183.5,1822.0
2019-12-13 11:21:00,183.38,183.46,183.34,183.46,3726.0
2019-12-13 11:20:00,183.42,183.48,183.4,183.42,2239.0
2019-12-13 11:19:00,183.38,183.42,183.36,183.42,1165.0
2019-12-13 11:18:00,183.44,183.44,183.3,183.36,2464.0
2019-12-13 11:17:00,183.5,183.52,183.44,183.46,1607.0
2019-12-13 11:16:00,183.56,183.62,183.5,183.52,1276.0
2019-12-13 11:15:00,183.5,183.58,183.44,183.56,1487.0
2019-12-13 11:14:00,183.56,183.62,183.48,183.48,1772.0
2019-12-13 11:13:00,183.52,183.56,183.5,183.56,1807.0
2019-12-13 11:12:00,183.48,183.56,183.48,183.5,1008.0
2019-12-13 11:11:00,183.54,183.54,183.48,183.48,1018.0
2019-12-13 11:10:00,183.54,183.7,183.52,183.58,5433.0
2019-12-13 11:09:00,183.4,183.54,183.4,183.46,1966.0
2019-12-13 11:08:00,183.32,183.4,183.32,183.4,956.0
2019-12-13 11:07:00,183.26,183.36,183.26,183.36,925.0
2019-12-13 11:06:00,183.34,183.36,183.28,183.28,964.0
2019-12-13 11:05:00,183.18,183.36,183.18,183.36,1843.0
2019-12-13 11:04:00,183.38,183.38,183.1,183.18,2119.0
2019-12-13 11:03:00,183.48,183.48,183.4,183.4,0.0
2019-12-13 11:02:00,183.68,183.68,183.56,183.58,749.0
2019-12-13 11:01:00,183.8,183.8,183.7,183.72,2211.0
2019-12-13 11:00:00,183.72,183.85,183.71,183.84,2022.0
2019-12-13 10:59:00,183.5,183.78,183.5,183.68,1777.0
2019-12-13 10:58:00,183.46,183.52,183.42,183.52,1753.0
2019-12-13 10:57:00,183.54,183.56,183.42,183.46,727.0
2019-12-13 10:56:00,183.46,183.6,183.46,183.52,3936.0
2019-12-13 10:55:00,183.44,183.62,183.42,183.46,1947.0
2019-12-13 10:54:00,183.56,183.56,183.36,183.36,2132.0
2019-12-13 10:53:00,183.6,183.7,183.54,183.58,5178.0
